chlorides,total_sulfur_dioxide,density,pH,alcohol,high_quality
0.039,107.0,0.992,3.21,10.8,0
0.036,99.0,0.9947,3.18,9.7,0
0.037,87.0,0.9921,3.12,11.2,0
0.04,114.0,0.9905,3.0,10.9,0
0.044,168.0,0.9918,3.28,10.1,0
0.058,97.0,0.9951,3.38,9.0,0
0.034,80.0,0.9917,3.38,12.0,1
0.054,116.0,0.994,2.99,9.4,0
0.043,152.0,0.9934,3.12,11.5,1
0.055,135.0,0.9968,3.14,9.9,0
0.054,116.0,0.994,2.99,9.4,0
0.048,97.0,0.9919,3.14,10.4,0
0.049,76.0,0.9966,3.06,9.7,0
0.066,198.0,0.9979,2.89,8.9,0
0.066,198.0,0.9979,2.89,8.9,0
0.036,124.0,0.9898,3.29,12.4,1
0.036,119.0,0.9894,3.36,12.1,1
0.036,119.0,0.9894,3.36,12.1,1
0.036,124.0,0.9898,3.29,12.4,1
0.055,159.0,0.998,2.98,9.1,0
0.049,85.0,0.9932,3.28,10.6,0
0.066,198.0,0.9979,2.89,8.9,0
0.05,205.0,0.997,3.15,9.5,0
0.051,177.0,0.9972,3.16,9.8,0
0.048,197.0,0.9974,3.14,9.6,0
0.034,98.0,0.9896,3.08,12.6,1
0.055,151.0,0.9968,3.08,9.3,0
0.034,110.0,0.9958,2.87,10.0,0
0.066,133.0,0.9906,3.12,12.7,0
0.045,96.0,0.9917,3.13,11.0,0
0.037,100.0,0.9902,3.03,11.4,0
0.038,130.0,0.9918,3.35,11.5,1
0.051,173.0,0.999,3.09,10.2,0
0.04,151.0,0.9927,3.11,11.4,0
0.044,65.0,0.991,3.03,12.6,0
0.054,170.0,0.9972,3.28,9.4,0
0.06,108.0,0.9931,3.11,8.7,0
0.049,176.0,0.995,3.19,9.2,0
0.048,173.0,0.9951,3.19,9.3,0
0.053,183.0,0.9936,3.09,9.2,0
0.048,167.0,1.001,2.93,8.7,0
0.05,227.0,0.9979,3.18,9.6,0
0.043,226.0,0.997,3.02,9.3,0
0.043,230.0,0.9972,3.02,9.3,0
0.04,166.0,0.9954,3.12,9.9,0
0.038,119.0,0.9924,3.15,11.0,0
0.034,109.0,0.9906,3.26,12.7,1
0.047,210.0,0.9962,3.09,8.9,0
0.052,211.0,0.9962,3.09,8.9,0
0.048,167.0,1.001,2.93,8.7,0
0.045,123.0,0.9928,3.02,11.4,0
0.055,125.0,0.9942,3.36,9.6,0
0.2,181.0,0.9942,3.02,9.1,0
0.197,180.0,0.9942,3.02,9.1,0
0.197,183.0,0.9942,3.01,9.1,0
0.052,214.0,0.9961,3.13,8.9,0
0.05,204.0,0.998,3.1,8.8,0
0.052,214.0,0.9961,3.13,8.9,0
0.049,196.0,0.9984,3.15,9.3,0
0.05,204.0,0.998,3.1,8.8,0
0.05,236.0,0.9973,3.2,9.6,0
0.034,134.0,0.9949,3.33,12.0,0
0.053,114.0,0.9924,3.28,10.2,0
0.042,153.0,0.9972,3.15,8.8,0
0.045,126.0,0.9958,3.21,9.2,0
0.049,124.0,0.9968,2.99,9.9,0
0.04,77.0,0.9938,3.32,10.2,0
0.048,170.0,0.993,3.22,9.5,0
0.032,68.0,0.994,3.31,10.5,0
0.038,111.0,0.9918,3.32,11.2,1
0.045,126.0,0.9958,3.21,9.2,0
0.051,122.0,0.9944,3.44,9.7,0
0.03,105.0,0.9912,3.3,11.1,1
0.044,152.0,0.9961,3.31,9.4,0
0.036,164.0,0.9939,3.03,11.0,0
0.044,152.0,0.9961,3.31,9.4,0
0.044,167.0,0.9989,3.31,9.4,0
0.036,161.0,0.9938,3.04,11.0,0
0.036,164.0,0.9939,3.03,11.0,0
0.07,172.0,0.9971,3.0,9.1,0
0.03,105.0,0.9912,3.3,11.1,1
0.043,144.0,0.9936,3.42,9.1,0
0.046,140.0,0.9929,3.39,10.4,0
0.046,145.0,0.9998,3.32,8.7,0
0.048,200.0,0.9938,3.5,9.7,0
0.041,272.0,0.9969,3.17,9.1,0
0.048,200.0,0.9938,3.5,9.7,0
0.046,145.0,0.9998,3.32,8.7,0
0.062,142.0,0.9972,3.37,8.9,0
0.041,194.0,0.9976,3.34,9.6,0
0.039,208.0,0.9976,3.31,9.5,0
0.058,194.0,0.9979,3.09,9.0,0
0.058,194.0,0.9979,3.09,9.0,0
0.058,194.0,0.9979,3.09,9.0,0
0.058,194.0,0.9979,3.09,9.0,0
0.044,221.0,0.9972,3.27,9.6,0
0.037,120.0,0.9918,3.34,11.1,1
0.039,159.0,0.9982,3.48,9.6,0
0.05,197.0,0.9985,3.2,8.7,0
0.031,90.0,0.9944,3.13,10.4,0
0.026,100.0,0.9903,3.15,11.4,1
0.047,218.5,0.9934,3.3,9.7,0
0.043,142.0,0.9975,3.14,8.7,0
0.038,249.5,0.9923,3.37,11.3,0
0.03,139.0,0.99,3.16,12.6,1
0.031,77.0,0.9905,3.25,10.9,1
0.03,76.0,0.9905,3.25,10.9,1
0.037,119.0,0.996,3.38,10.0,0
0.053,199.0,0.9964,3.72,10.0,0
0.074,197.0,0.998,3.02,9.8,0
0.043,142.0,0.9975,3.14,8.7,0
0.029,109.0,0.9913,3.53,11.7,0
0.054,158.0,0.9932,3.21,9.3,0
0.04,147.0,0.9935,3.32,9.6,1
0.035,97.0,0.9927,3.27,11.0,1
0.035,97.0,0.9927,3.27,11.0,1
0.032,118.0,0.9912,3.32,11.8,0
0.037,75.0,0.9904,3.28,11.4,0
0.048,108.0,0.9939,3.32,10.2,0
0.043,156.0,0.9996,2.93,8.9,0
0.036,95.0,0.9944,3.17,10.2,0
0.045,231.0,0.9977,3.08,9.6,0
0.038,167.0,0.9912,3.1,10.6,0
0.043,156.0,0.9996,2.93,8.9,0
0.053,180.0,0.9965,3.25,9.2,0
0.043,149.0,0.9944,3.34,9.7,0
0.044,145.0,0.9945,3.34,9.7,0
0.045,147.0,0.9944,3.34,9.7,0
0.053,180.0,0.9965,3.25,9.2,0
0.044,147.0,0.9944,3.33,9.7,0
0.051,148.0,0.9972,3.29,9.3,0
0.057,123.0,0.9949,3.24,9.0,0
0.046,234.0,0.9966,3.05,9.5,0
0.046,169.0,0.9954,3.14,9.8,0
0.044,166.0,0.9954,3.14,9.8,0
0.042,60.0,0.9915,2.89,10.6,0
0.044,67.0,0.9919,3.05,10.6,0
0.036,105.0,0.9916,3.26,12.4,1
0.034,112.0,0.99,3.19,12.6,1
0.039,114.0,0.9909,3.3,12.3,1
0.047,201.0,0.9938,3.08,10.5,0
0.054,196.0,0.9982,3.19,9.3,0
0.055,198.0,0.9988,3.12,8.8,0
0.056,180.0,0.9961,3.08,8.8,0
0.053,190.0,0.9978,3.22,9.7,0
0.058,192.0,0.9979,2.98,9.0,1
0.058,192.0,0.9979,2.98,9.0,1
0.058,192.0,0.9979,2.98,9.0,1
0.058,192.0,0.9979,2.98,9.0,1
0.041,155.0,0.9945,3.52,10.5,0
0.066,195.0,1.0,2.96,9.1,0
0.041,157.0,0.9957,3.44,9.8,1
0.066,182.0,0.9968,3.23,8.5,0
0.046,175.0,0.9934,3.37,9.4,0
0.045,169.0,0.9976,3.09,9.4,0
0.041,187.0,0.9932,3.19,11.2,1
0.046,146.0,0.997,3.17,10.0,0
0.043,122.0,0.9923,3.15,10.3,0
0.063,87.0,0.9914,3.27,10.8,0
0.05,74.0,0.992,3.13,10.5,0
0.063,87.0,0.9914,3.27,10.8,0
0.055,168.0,0.9914,3.32,11.1,0
0.057,163.0,0.9949,3.2,9.9,0
0.057,163.0,0.9949,3.2,9.9,0
0.058,163.0,0.995,3.2,9.9,0
0.058,166.0,0.995,3.2,9.9,0
0.036,134.0,0.9927,3.2,10.4,1
0.037,148.0,0.9928,3.21,10.4,0
0.035,100.0,0.9917,3.4,11.5,1
0.032,164.0,0.9918,3.53,12.5,1
0.042,149.0,0.9954,3.36,10.0,0
0.038,166.0,0.9941,3.29,10.0,0
0.04,167.0,0.9941,3.29,10.0,0
0.132,127.0,0.9934,3.09,9.1,0
0.031,134.0,0.9927,3.21,10.6,0
0.031,135.0,0.9938,3.19,10.5,0
0.03,133.0,0.9933,3.52,11.5,1
0.04,69.0,0.9934,3.54,10.1,0
0.041,65.0,0.9927,3.61,10.3,1
0.031,135.0,0.9938,3.19,10.5,0
0.031,134.0,0.9927,3.21,10.6,0
0.031,137.0,0.9946,3.16,10.4,0
0.046,207.0,0.993,3.02,11.4,0
0.057,313.0,0.9946,3.18,10.5,0
0.04,216.0,0.9976,2.96,10.0,0
0.039,143.0,0.9944,3.19,10.0,0
0.042,195.0,0.9978,3.23,9.6,0
0.036,85.0,0.992,3.17,10.4,0
0.03,101.0,0.9912,3.36,12.5,1
0.032,135.0,0.9927,3.2,10.6,0
0.033,91.0,0.9906,3.28,11.8,0
0.038,133.0,0.9954,3.11,9.8,0
0.031,80.0,0.9923,3.25,10.8,0
0.033,91.0,0.9906,3.28,11.8,0
0.036,105.0,0.991,3.32,11.2,0
0.045,170.0,0.9972,3.28,9.3,0
0.047,139.0,0.9945,3.45,10.4,0
0.049,141.0,0.9934,3.43,10.2,1
0.045,153.0,0.9964,3.19,9.0,1
0.047,129.0,0.9948,3.2,10.0,0
0.044,140.0,0.9962,3.18,9.1,0
0.053,144.0,0.9931,3.29,10.0,0
0.052,145.0,0.993,3.29,10.0,0
0.05,131.0,0.9942,3.28,9.6,0
0.031,68.0,0.9906,3.36,11.2,1
0.056,155.0,0.9995,3.2,8.8,0
0.052,118.0,0.998,3.15,10.0,0
0.054,137.0,0.997,3.15,10.0,0
0.044,146.0,0.9914,3.27,11.4,1
0.038,138.0,0.992,3.03,11.9,1
0.071,128.0,0.9924,3.14,9.6,0
0.038,138.0,0.992,3.03,11.9,1
0.047,245.0,0.9937,3.25,9.6,0
0.063,191.0,0.9978,2.89,9.0,0
0.063,191.0,0.9978,2.89,9.0,0
0.05,169.0,0.9927,3.15,9.5,0
0.05,152.0,0.994,3.0,10.4,0
0.04,161.0,0.9935,3.2,10.6,0
0.047,162.0,0.9968,3.28,10.2,0
0.055,84.0,0.9941,3.15,8.9,0
0.05,127.0,0.9942,3.4,9.7,0
0.063,191.0,0.9978,2.89,9.0,0
0.037,102.0,0.9923,3.49,11.4,1
0.028,113.0,0.9912,3.4,12.3,1
0.089,143.0,0.9923,3.49,10.8,0
0.053,148.0,0.9927,3.12,9.4,0
0.049,178.0,0.9931,3.17,10.6,0
0.044,72.0,0.9941,3.17,11.6,0
0.053,148.0,0.9927,3.12,9.4,0
0.049,178.0,0.9931,3.17,10.6,0
0.048,204.0,0.9934,3.34,10.0,0
0.048,149.0,0.9936,3.1,9.2,0
0.027,89.0,0.9893,3.51,12.5,1
0.027,89.0,0.9893,3.51,12.5,1
0.037,119.0,0.9919,3.32,10.4,1
0.045,98.0,0.9924,3.15,10.0,1
0.049,155.0,0.9927,3.22,10.0,0
0.037,119.0,0.9919,3.32,10.4,1
0.045,98.0,0.9924,3.15,10.0,1
0.046,179.0,0.9975,3.1,9.0,0
0.051,157.0,0.9969,3.12,9.2,0
0.048,149.0,0.9936,3.1,9.2,0
0.027,125.0,0.991,3.38,11.3,1
0.027,89.0,0.9893,3.51,12.5,1
0.026,115.0,0.9906,3.48,10.8,1
0.04,260.0,0.9941,3.12,10.1,0
0.047,140.0,0.995,3.39,9.7,0
0.032,181.0,0.9983,3.18,9.3,1
0.032,181.0,0.9983,3.18,9.3,1
0.031,66.0,0.9916,3.1,10.6,0
0.031,125.0,0.9957,3.36,10.2,0
0.021,69.0,0.99,3.08,12.2,0
0.044,163.0,0.9976,3.19,8.8,0
0.04,168.0,0.992,3.18,10.0,0
0.031,93.0,0.9917,3.09,11.4,0
0.037,107.0,0.9917,3.46,11.4,0
0.048,168.0,0.9993,3.35,9.4,0
0.032,83.0,0.9908,3.3,11.7,0
0.037,107.0,0.9917,3.46,11.4,0
0.044,163.0,0.9976,3.19,8.8,0
0.069,108.0,0.9934,3.23,9.2,0
0.046,252.0,1.0,3.07,8.7,0
0.035,170.0,0.9918,3.24,12.6,0
0.04,168.0,0.992,3.18,10.0,0
0.031,99.0,0.9896,3.39,12.8,1
0.049,125.0,0.9932,3.17,9.4,0
0.044,116.0,0.992,3.26,10.3,0
0.031,93.0,0.9917,3.09,11.4,0
0.038,155.0,0.9999,2.97,9.0,0
0.04,140.0,0.998,3.3,9.6,0
0.036,85.0,0.9918,3.16,10.5,0
0.036,85.0,0.9918,3.16,10.5,0
0.038,155.0,0.9999,2.97,9.0,0
0.04,140.0,0.998,3.3,9.6,0
0.041,99.0,0.9927,3.19,9.8,0
0.047,210.0,0.9959,3.1,9.0,0
0.041,99.0,0.9927,3.19,9.8,0
0.05,137.0,0.9929,3.31,10.5,0
0.03,136.0,0.9898,3.16,12.7,1
0.045,222.0,0.9954,3.25,10.4,0
0.045,221.0,0.9954,3.25,10.4,0
0.045,221.0,0.9954,3.25,10.4,0
0.047,162.0,0.9954,3.34,10.5,1
0.045,222.0,0.9954,3.25,10.4,0
0.045,221.0,0.9954,3.25,10.4,0
0.053,194.0,0.9974,3.09,9.4,0
0.051,89.0,0.9936,3.06,9.1,0
0.056,197.0,0.9978,3.1,9.3,0
0.053,194.0,0.9974,3.09,9.4,0
0.048,84.0,0.9927,3.21,9.8,0
0.045,214.0,0.9934,3.18,9.9,1
0.108,151.0,0.9938,3.07,9.2,0
0.028,104.0,0.9922,3.35,12.1,1
0.027,97.0,0.992,3.38,12.2,1
0.042,218.5,0.9935,3.27,9.8,0
0.035,186.0,0.9906,3.35,12.4,1
0.045,214.0,0.9934,3.18,9.9,1
0.06,108.0,0.9934,3.26,9.2,0
0.028,102.0,0.9913,3.29,11.6,1
0.033,137.0,0.9938,3.3,10.4,0
0.026,126.0,0.9898,3.43,12.9,1
0.048,245.0,0.9975,3.26,9.3,0
0.031,139.0,0.9975,3.2,11.0,0
0.038,66.0,0.9937,3.24,11.5,0
0.054,156.0,0.9914,3.53,12.4,0
0.048,113.0,0.9982,3.44,9.8,0
0.048,113.0,0.9982,3.44,9.8,0
0.052,127.0,0.9929,3.48,10.5,1
0.07,174.0,0.9971,3.03,9.1,0
0.038,128.0,0.9921,3.24,10.1,0
0.042,160.0,0.9931,3.46,10.6,1
0.046,113.0,0.9924,3.41,10.5,1
0.052,127.0,0.9929,3.48,10.5,1
0.048,113.0,0.9982,3.44,9.8,0
0.022,82.0,0.9892,3.3,12.9,1
0.056,111.0,0.9956,2.95,9.5,0
0.053,218.5,0.9924,3.29,9.8,0
0.059,249.0,0.9971,3.37,8.5,0
0.056,111.0,0.9956,2.95,9.5,0
0.047,171.0,0.9982,3.22,9.3,0
0.047,162.0,0.9973,3.35,9.5,0
0.044,68.0,0.9932,3.17,9.4,0
0.047,178.0,0.9976,3.16,8.7,0
0.081,126.0,0.9962,2.95,8.9,0
0.039,141.0,0.9956,3.22,9.4,0
0.044,68.0,0.9932,3.17,9.4,0
0.047,178.0,0.9976,3.16,8.7,0
0.047,182.0,0.9992,3.09,9.6,0
0.039,158.0,0.9983,3.0,9.3,0
0.036,200.0,0.9937,3.14,10.0,0
0.023,86.0,0.99,3.25,12.5,0
0.034,132.0,0.9944,3.36,9.6,1
0.03,102.0,0.9938,3.24,9.4,0
0.029,227.0,0.9965,3.03,9.5,0
0.028,105.0,0.9893,2.99,12.4,1
0.037,115.0,0.9927,3.11,10.5,0
0.073,165.0,0.994,2.97,9.2,0
0.041,164.0,0.9928,3.32,10.4,0
0.043,172.0,0.9964,3.22,9.2,0
0.047,104.0,0.9917,3.33,10.6,0
0.044,137.0,0.9972,3.34,9.5,0
0.043,172.0,0.9964,3.22,9.2,0
0.346,200.0,0.9954,3.29,9.6,0
0.028,117.0,0.993,3.47,9.7,0
0.025,117.0,0.9928,3.46,9.7,0
0.035,90.0,0.9916,3.1,10.7,0
0.045,180.0,0.9936,3.34,10.5,0
0.047,177.0,0.9962,3.13,8.9,0
0.035,70.0,0.9899,3.09,12.1,0
0.032,65.0,0.9898,3.25,12.7,1
0.039,182.0,0.996,3.18,9.9,0
0.022,158.0,0.9907,3.2,11.4,0
0.04,103.0,0.994,3.37,10.7,0
0.025,173.0,0.9913,3.33,12.5,0
0.041,189.0,0.9976,3.08,8.6,0
0.026,147.0,0.9904,3.29,12.5,0
0.04,174.0,0.992,3.27,10.0,0
0.041,189.0,0.9976,3.08,8.6,0
0.045,200.0,0.999,3.08,9.5,0
0.038,164.0,0.9975,3.12,9.6,0
0.038,210.0,0.9937,3.2,9.9,0
0.037,210.0,0.9937,3.19,9.9,0
0.053,140.0,0.998,3.06,8.9,0
0.053,140.0,0.998,3.06,8.9,0
0.09,135.0,0.9944,3.01,8.8,0
0.048,170.0,0.9938,3.64,10.0,1
0.039,152.0,0.9907,3.44,12.0,0
0.048,170.0,0.9938,3.64,10.0,1
0.041,138.0,0.9921,3.21,10.0,0
0.042,167.0,0.9908,3.11,12.1,0
0.04,141.0,0.9931,3.16,11.0,0
0.025,55.0,0.9915,3.21,11.2,0
0.036,115.0,0.9952,3.17,10.3,1
0.051,167.0,0.9926,3.37,10.4,0
0.055,154.0,0.9934,3.08,9.1,0
0.045,154.0,0.992,3.0,10.4,0
0.05,78.0,0.9918,3.43,10.8,0
0.048,41.0,0.9942,3.19,11.7,0
0.039,143.0,0.9942,3.05,9.8,0
0.039,143.0,0.9942,3.05,9.8,0
0.038,101.0,0.9901,3.03,11.4,0
0.033,96.0,0.9898,3.03,11.2,0
0.038,72.0,0.9902,3.37,11.4,0
0.114,140.0,0.9934,3.09,9.2,0
0.04,29.0,0.9906,3.04,12.5,0
0.034,116.0,0.9898,3.36,12.6,0
0.031,104.0,0.9896,3.44,12.2,0
0.03,112.0,0.9922,3.56,11.2,0
0.048,103.0,0.9947,3.43,9.7,0
0.186,150.0,0.9945,3.06,9.3,0
0.067,178.0,0.9976,3.01,9.0,0
0.067,178.0,0.9976,3.01,9.0,0
0.067,178.0,0.9976,3.01,9.0,0
0.047,171.0,0.9987,3.09,9.1,0
0.047,171.0,0.9987,3.09,9.1,0
0.067,178.0,0.9976,3.01,9.0,0
0.045,61.0,0.992,3.31,10.4,0
0.053,211.0,0.9955,3.37,9.5,0
0.04,175.0,0.9953,3.46,11.4,0
0.05,192.0,0.9976,3.16,8.7,0
0.045,167.0,0.992,3.34,9.9,0
0.036,148.0,0.9952,3.22,9.9,0
0.047,162.0,0.9983,3.21,9.0,0
0.04,149.0,0.9933,3.49,10.0,0
0.039,172.0,0.9958,3.49,9.7,0
0.052,87.0,0.9922,3.3,11.8,0
0.044,127.0,0.9928,3.49,10.2,1
0.05,192.0,0.9976,3.16,8.7,0
0.05,168.0,0.9976,3.07,9.6,1
0.026,93.0,0.9916,2.93,11.3,1
0.028,118.0,0.9901,3.0,12.1,1
0.05,168.0,0.9976,3.07,9.6,1
0.028,118.0,0.9901,3.0,12.1,1
0.026,93.0,0.9916,2.93,11.3,1
0.046,160.0,0.9982,2.98,9.4,0
0.049,137.0,0.993,3.32,10.4,0
0.044,165.0,0.9969,3.25,9.5,0
0.047,144.0,0.991,3.01,12.3,0
0.049,150.0,0.9953,3.12,9.9,1
0.057,128.0,0.9924,3.24,10.1,0
0.063,184.0,0.9969,3.09,9.2,0
0.046,135.0,0.9928,3.08,10.4,1
0.066,165.0,0.9945,3.2,9.1,0
0.059,99.0,0.9967,3.12,10.0,0
0.051,37.0,0.9944,3.13,11.5,0
0.048,153.0,0.9928,3.08,9.8,0
0.05,154.0,0.9929,3.08,9.8,0
0.04,179.0,0.9948,3.19,9.4,0
0.051,194.0,0.9976,3.05,8.7,0
0.038,107.0,0.9912,3.32,11.6,1
0.047,181.0,0.9987,3.04,8.8,0
0.032,151.0,0.99,3.16,12.7,1
0.035,138.0,0.991,3.17,11.7,1
0.047,185.0,0.9933,3.13,10.2,0
0.047,187.0,0.9933,3.13,10.2,0
0.033,153.0,0.9899,3.15,12.7,1
0.038,107.0,0.9912,3.32,11.6,1
0.034,134.0,0.9912,3.38,12.3,1
0.051,194.0,0.9976,3.05,8.7,0
0.042,111.0,0.994,3.35,9.4,0
0.056,168.0,0.9947,3.13,10.1,0
0.042,81.0,0.9954,2.86,9.7,0
0.046,134.0,0.993,3.42,10.1,1
0.042,81.0,0.9954,2.86,9.7,0
0.049,157.0,0.9963,3.13,8.9,0
0.034,136.0,0.992,3.47,10.8,1
0.036,121.0,0.9926,3.42,10.8,1
0.04,136.0,0.995,3.19,9.5,0
0.059,148.0,0.9983,2.94,9.1,0
0.037,119.0,0.992,3.32,10.9,0
0.043,152.0,0.9968,3.2,9.4,0
0.03,131.0,0.9905,2.97,10.8,0
0.03,131.0,0.9904,2.97,10.8,0
0.051,140.0,0.9926,3.45,10.5,1
0.043,152.0,0.9968,3.2,9.4,0
0.034,127.0,0.9928,3.17,10.8,0
0.036,115.0,0.9949,3.35,10.5,1
0.036,55.0,0.9909,3.08,11.5,1
0.18,160.0,0.9937,3.11,9.4,0
0.045,106.0,0.9914,2.88,10.8,0
0.03,131.0,0.9905,2.97,10.8,0
0.03,131.0,0.9904,2.97,10.8,0
0.052,134.0,0.9924,2.99,9.8,0
0.052,134.0,0.9924,2.99,9.8,0
0.049,158.0,0.9965,3.43,9.6,0
0.049,158.0,0.9965,3.43,9.6,0
0.044,161.0,0.9993,3.34,9.5,0
